status,email,address,credit_name,credit_expire,security_code,zip
paid,hong.wiza@nolan.io,"Suite 531 4355 Will Islands, South Vernonmouth, IL 19679-8071",Doris Open,2029,493,67290-7700
shipped,ron_price@conroy.info,"95573 Smitham Passage, East Bernardina, NE 68824-6183",Sue Flay,2029,613,02199-1707
paid,daniel_durgan@hermann-olson.name,"Suite 990 5408 Roob Lodge, Port Laurence, MO 59930",Brighton Early,2020,966,75323
paid,maya@bergstrom.io,"Suite 301 5000 Dietrich Summit, Hermistonstad, SD 17811",Colleen Cardd,2025,863,06331
shipped,leanna@kunde-bruen.name,"1343 Larkin Stream, Brianstad, VT 97121",Trina Corder,2032,733,73886
paid,moses@stoltenberg.org,"77234 Corwin Mountains, New Eduardoborough, NE 73340",Barry Cade,2023,763,99367
cancelled,donnie@roberts-cartwright.biz,"Apt. 803 1839 Satterfield Shore, Port Vinnie, MD 79532-2074",C. Worthy,2034,772,77483
cancelled,benton.gislason@stroman.org,"Suite 500 9708 Brice Island, Fritschside, AL 08579-9856",Doug Graves,2021,412,80899-0878
pending,teressa@white.name,"Suite 883 58946 Moen Drive, Rachelborough, IL 85961",Hal Jalikakick,2029,705,04191
paid,erwin@schoen.org,"Suite 800 193 Bauch Port, Lake Laurenceport, WV 70884",Helena Hanbaskett,2026,184,95932-7585
cancelled,jutta_kris@thompson.io,"Suite 693 522 Hyatt Valleys, South Steven, KY 93761",Harrison Fire,2028,845,12790-5291
cancelled,luella.abernathy@konopelski.co,"Apt. 275 957 Schultz Track, West Cesar, SD 59818-1029",Harry Chest,2032,745,99147-9197
paid,robt@padberg.co,"Apt. 663 9361 Johnston Pine, Jacobsberg, NM 06930",Miss Alanius,2032,111,25360-2036
cancelled,delora.mcglynn@okon-langosh.com,"260 Schroeder Falls, Graciahaven, NJ 11508-3503",Rusty Dorr,2023,655,49052-3178
paid,lahoma@reichert.com,"5143 Richie Via, East Calvinview, CO 40951-2933",Al Dente,2029,809,22354-0292
